Name,ISNI,Name variants,Web page,Identity 1 name,Identity 1 ISNI,Identity 2 name,Identity 2 ISNI,Identity 3 name,Identity 3 ISNI,Notes
"Richard Leacock,  Joyce  Chopra","","","","Richard Leacock","http://isni.org/isni/000000011747805X"," Joyce  Chopra","","","",""
"Richard Leacock","http://isni.org/isni/000000011747805X","","","","","","","","",""
"Joyce  Chopra","http://isni.org/isni/0000000365468723","","","","","","","","",""
"Steve Nagy, Glenn P. Anderson","","","","Steve Nagy","","Glenn P. Anderson","","","",""
"Steve Nagy","","","","","","","","","",""
"Glenn P. Anderson","","","","","","","","","",""
"Timothy Asch, Napoleon Chagnon","","","","Timothy Asch","http://isni.org/isni/000000007844514X","Napoleon Chagnon","http://isni.org/isni/0000000109344369","","",""
"Timothy Asch","http://isni.org/isni/000000007844514X","","","","","","","","",""
"Napoleon Chagnon","http://isni.org/isni/0000000109344369","","","","","","","","",""
"Tony Ganz, Rhody Streeter","","","","Tony Ganz","http://isni.org/isni/0000000046462746","Rhody Streeter","http://isni.org/isni/0000000460451671","","",""
"Tony Ganz","http://isni.org/isni/0000000046462746","","","","","","","","",""
"Rhody Streeter","http://isni.org/isni/0000000460451671","","","","","","","","",""
"W. Lee Wilder, Charles Saunders","","","","W. Lee Wilder","http://isni.org/isni/000000007731907X","Charles Saunders","http://isni.org/isni/0000000068849861","","",""
"W. Lee Wilder","http://isni.org/isni/000000007731907X","","","","","","","","",""
"Charles Saunders","http://isni.org/isni/0000000068849861","","","","","","","","",""
"Walt  Disney, Iwerks Ub","","","","Walt  Disney","http://isni.org/isni/0000000121280724","Iwerks Ub","http://isni.org/isni/000000006658664X","","",""
"Walt  Disney","http://isni.org/isni/0000000121280724","","","","","","","","",""
"Iwerks Ub","http://isni.org/isni/000000006658664X","","","","","","","","",""
"William Keighley, Michael Curtiz","","","","William Keighley","http://isni.org/isni/000000008159164X","Michael Curtiz","http://isni.org/isni/0000000123197246","","",""
"William Keighley","http://isni.org/isni/000000008159164X","","","","","","","","",""
"Michael Curtiz","http://isni.org/isni/0000000123197246","","","","","","","","",""
