HFA tag,LC genre/form,Combine with additional LC genre/form,FAST form,Combine with additional FAST form,Getty genre
Western,http://id.loc.gov/authorities/genreForms/gf2011026735,,http://id.worldcat.org/fast/1710347,,http://vocab.getty.edu/aat/300254815
Martial arts,http://id.loc.gov/authorities/genreForms/gf2011026388,,http://id.worldcat.org/fast/1710575,,
Exploitation,http://id.loc.gov/authorities/genreForms/gf2011026236,,http://id.worldcat.org/fast/1710459,,
Other,,,,,
Condensed,,,,,
Amateur,http://id.loc.gov/authorities/genreForms/gf2011026038,,http://id.worldcat.org/fast/1710351,,
Anti-war,http://id.loc.gov/authorities/genreForms/gf2011026729,,http://id.worldcat.org/fast/1710402,,
Detective and mystery,http://id.loc.gov/authorities/genreForms/gf2011026195,,http://id.worldcat.org/fast/1710476,,
Feminist,http://id.loc.gov/authorities/genreForms/gf2011026248,,http://id.worldcat.org/fast/1710425,,
Autobiographical,http://id.loc.gov/authorities/genreForms/gf2011026064,,http://id.worldcat.org/fast/1710464,,
Film Excerpts,http://id.loc.gov/authorities/genreForms/gf2011026256,,http://id.worldcat.org/fast/1726130,,
Independent,http://id.loc.gov/authorities/genreForms/gf2011026324,,http://id.worldcat.org/fast/1710572,,
Instructional,http://id.loc.gov/authorities/genreForms/gf2011026333,,http://id.worldcat.org/fast/1726236,,
Kinescope,http://id.loc.gov/authorities/genreForms/gf2011026786,,http://id.worldcat.org/fast/1910788,,
Medical (non-fiction),http://id.loc.gov/authorities/genreForms/gf2011026390,http://id.loc.gov/authorities/genreForms/gf2011026423,http://id.worldcat.org/fast/1726174,http://id.worldcat.org/fast/1710269,
Pornography,http://id.loc.gov/authorities/genreForms/gf2011026460,,http://id.worldcat.org/fast/1726299,,
Science,http://id.loc.gov/authorities/genreForms/gf2011026559,,http://id.worldcat.org/fast/1726237,,
Silent films,http://id.loc.gov/authorities/genreForms/gf2011026575,,http://id.worldcat.org/fast/1710368,,
Social guidance,http://id.loc.gov/authorities/genreForms/gf2011026588,,http://id.worldcat.org/fast/1726258,,
Sponsored,http://id.loc.gov/authorities/genreForms/gf2011026599,,http://id.worldcat.org/fast/1726791,,
Sports,http://id.loc.gov/authorities/genreForms/gf2011026601,,http://id.worldcat.org/fast/1710339,,
Thriller,http://id.loc.gov/authorities/genreForms/gf2011026692,,http://id.worldcat.org/fast/1726193,,
Travelogues,http://id.loc.gov/authorities/genreForms/gf2011026704,,http://id.worldcat.org/fast/1726195,,
Dance,http://id.loc.gov/authorities/genreForms/gf2011026472,,http://id.worldcat.org/fast/1726275,,
Surrealist films,http://id.loc.gov/authorities/genreForms/gf2011026625,,http://id.worldcat.org/fast/1726233,,
Serial,http://id.loc.gov/authorities/genreForms/gf2011026260,,http://id.worldcat.org/fast/1726245,,
Non-verbal,,,,,
Cameraless,http://id.loc.gov/authorities/genreForms/gf2011026107,,http://id.worldcat.org/fast/1726187,,
